Date,Humidity,Temperature,Water
4/9/2023,64.87352059,32,1210.118353
4/9/2023,20.67733782,30,4345.812975
4/9/2023,26.83018893,17,1253.584885
4/9/2023,74.85165525,38,1611.86758
4/9/2023,66.31237442,33,1295.010047
4/9/2023,21.91241578,23,2847.006738
4/9/2023,87.81649621,28,0
4/9/2023,36.58147455,28,2673.482036
4/9/2023,31.68783875,32,3864.9729
4/9/2023,93.48026373,21,0
4/9/2023,70.53494095,39,2157.204724
4/9/2023,12.92165591,36,6166.267527
4/9/2023,22.32970141,37,5613.623887
4/9/2023,6.541497713,19,3276.680183
4/9/2023,94.52027355,21,0
4/9/2023,58.58445428,30,1313.243657
4/9/2023,67.75503822,17,0
4/9/2023,13.58753093,29,4712.997525
4/9/2023,26.60669735,17,1271.464212
4/9/2023,87.94517856,28,0
4/9/2023,52.05168978,25,835.8648179
4/9/2023,24.85340783,36,5211.727373
4/9/2023,11.02880603,24,3917.695518
4/9/2023,96.42844622,15,0
4/9/2023,72.70791705,35,1183.366636
4/9/2023,86.95544022,17,0
4/9/2023,96.11533551,15,0
4/9/2023,41.16836095,29,2506.531124
4/9/2023,20.55716037,27,3755.427171
4/9/2023,0.498488677,18,3560.120906
4/9/2023,19.82604386,39,6213.916491
4/9/2023,9.699138911,30,5224.068887
4/9/2023,75.70434064,33,543.6527486
4/9/2023,24.03353687,18,1677.317051
4/9/2023,93.45997886,25,0
4/9/2023,22.02276696,39,6038.178643
4/9/2023,86.43018631,24,0
4/9/2023,79.4640096,37,1042.879232
4/9/2023,15.45221332,21,2963.822934
4/9/2023,24.32226528,18,1654.218778
4/9/2023,48.64361306,37,3508.510955
4/9/2023,17.25925693,36,5819.259445
4/9/2023,14.55997359,30,4835.202113
4/9/2023,48.90904299,27,1487.276561
4/9/2023,99.47999031,20,0
4/9/2023,92.30382414,37,15.69406894
4/9/2023,13.21096971,15,1943.122423
4/9/2023,44.59063103,22,832.7495177
4/9/2023,54.75945585,38,3219.243532
4/9/2023,93.17811424,33,0
4/9/2023,6.653542163,15,2467.716627
4/9/2023,64.64294564,20,0
4/9/2023,86.69232078,23,0
4/9/2023,57.97925634,38,2961.659493
4/9/2023,65.90181329,16,0
4/9/2023,22.12726821,39,6029.818543
4/9/2023,93.70269943,32,0
4/9/2023,87.68420279,34,0
4/9/2023,51.21623924,32,2302.700861
4/9/2023,25.3717244,28,3570.262048
4/9/2023,7.906774955,31,5567.458004
4/9/2023,38.12281952,40,4950.174438
4/9/2023,19.40240194,20,2447.807845
4/9/2023,66.31070958,22,0
4/9/2023,44.74512468,30,2420.390025
4/9/2023,68.42402093,25,0
4/9/2023,17.19525295,39,6424.379764
4/9/2023,90.09633423,26,0
4/9/2023,76.47157838,21,0
4/9/2023,63.24783368,36,2140.173305
4/9/2023,92.06258822,33,0
4/9/2023,88.92924263,36,85.66058997
4/9/2023,80.64974913,34,348.0200697
4/9/2023,46.17876566,40,4305.698747
4/9/2023,4.812335357,33,6215.013171
4/9/2023,93.97249435,22,0
4/9/2023,62.99010779,16,0
4/9/2023,50.10686489,35,2991.450809
4/9/2023,85.12899739,24,0
4/9/2023,2.573301309,29,5594.135895
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
